text,label
"Within a week, the capacity of the available accommodation for illegal immigrants is covered, which is transferred from the opposite coast to the lesbian shores. This phenomenon is systematically recorded throughout 2014, with the arrivals of illegal immigrants having multiplied and being recorded 24 hours a day.",Uses_Infrastructure
"Under these conditions there is an immediate risk of accident due to the fact that the facility is in operation 24 hours a day, with access to tankers and service personnel. Especially in the afternoon and especially in the evening hours when there is only one work shift consisting of one person, there is a risk for his physical integrity , as there is no safe access to the area, where more than 4,000 foreigners are being ransacked.",Uses_Infrastructure
"After yesterday's order of the Prosecutor of the Court of First Instance of Mytilene A. Papamattheou, to return the foreigners to the port area and the instructions to the Municipality to disinfect the central parts of the city, the Mayor of Lesvos, expresses his inability to take care of sanitary of its responsibilities and jurisdiction and points out that it will focus on the cleanliness of its areas of responsibility and that any other body or service should assume its responsibilities:",Uses_Infrastructure
"In response to a document, in which you ask the Municipality of Lesvos to carry out daily cleaning and disinfection with special medicines in the central parts of the city of Mytilene through its cleaning crews, due to the influx of immigrants, I would like to make the following known to you:  For the past seven months, the Municipality of Lesvos has been making desperate efforts to maintain at a decent level both its areas of desperate efforts to maintain at a decent level both its areas of responsibility and the areas belonging to other bodies, organizations and services. I would like to inform you that, in this extremely difficult effort, the Municipality of Lesvos is fighting essentially alone, having staff and resources.",Uses_Infrastructure
"After today's order for the return of illegal immigrants and refugees again in the area of the Port of Mytilene, I inform you that the Municipality of Lesvos will focus on the cleanliness of its areas of responsibility and every other body and service should undertake the cleaning of areas of their responsibility",Uses_Infrastructure
"""Since this morning, 47 employees of the cleaning department of the Municipality of Lesvos and the green service, have been working feverishly throughout the city. Specifically, garbage is cleaned and picked up, all areas and parks that the foreigners had camped in the previous days are washed with chlorine. We have already emptied and cleaned the park of Agia Irini, with chlorine. We have already emptied and cleaned the park of Agia Irini, whose image has changed radically, we have cleaned the garden, the Municipal Theater and the port.
",Uses_Infrastructure
"The next step is to restore the irrigation systems in the parks , so that the greenery and the flowers come to life, with the contribution of the specialized staff of the municipality. This will be followed by general disinfection by a company that specializes in the subject.",Uses_Infrastructure
"I want to assure our citizens that the city will now be clean and safe from germs and that from now on, the situation will be completely under control",Uses_Infrastructure
"The illegal immigrants are stacked along the road that passes in front of the bus stop, the school complex of the village, as a result of which the entrance of the students is difficult, while the issue of cleanliness is equally difficult to deal with.",Uses_Infrastructure
"Another very serious parameter that concerns the Municipality of Lesvos, is the cost of accommodation and hospitality of these people. It is estimated that only the additional cost of cleaning amounts to 25,000 euros per month, while so far DEYAL is estimated to have spent more than 60 thousand euros on water and logistics infrastructure.",Uses_Infrastructure
"According to the president of the employees of DEYAL N. Ippiotis, lately the employees are giving a real fight to be able to serve the increased needs of foreigners in water supply and sewerage. 
""We have already installed 10 fountains with water, 10 showers and 10 toilets in the camp in Kara Tepe, while we are oriented to install another 10, in order to be able to cover the needs somewhat. The quantities of water that are consumed are very large and in order to cover them, we are forced to take water breaks or drop the pressure in areas of Mytilene , a fact that dissatisfies our fellow citizens, who pay and want to have services "".",Uses_Infrastructure
"in Mithymna at the entrance of the village -It is not only Mytilene that presents this third world image. -The endless camping, 
-with people, tents, rubbish, clothing and footwear scattered, but also discarded, 
-in every corner, on every street, on every sidewalk, in all the parks and lawns. The picture is similar in the enchanting Mithymna. 
-In the parking lot, where all the arriving foreigners are gathered, at the entrance of the village, -the spectacle is extremely ... touristy and idyllic !!! And in this case, the photos, capture what the words can not render -and especially the misery of all of us.",Uses_Infrastructure
"""Mantamados has about 900 permanent residents. At the moment, in the streets and alleys of the village, about a thousand other people are sleeping and living. I think it is understandable that the situation is out of control. These people eat, change, wash and defecate in the street, in the backyards of houses and after all, where they find available space. We do what we can to help. We collect food and clothes, but it is not possible to control all this constant flow of people. ",Uses_Infrastructure
"Today, with the incidents that took place in the center of Mantamados, we were really scared, because the situation had become dangerous. Two buses may have come and taken people to Mytilene, but the difference is not visible at all, since new ""teams"" are constantly arriving. I believe that something must be done immediately, otherwise there will be a problem for all of us "".",Uses_Infrastructure
"At the same time, in North Lesvos, it seems that the search for a plot will end at the former racecourse of Mithymna , which is located between Eftalou and Mithymna and belongs to the municipality. 
Already on Saturday, the Commander of the Regional Police Directorate of the North Aegean, K. Lagos, visited the site, who deemed it appropriate and will give a positive opinion to Lieutenant General Z. Tsirigotis. ",Uses_Infrastructure
"According to the deputy mayor of the area, K. Astyrakakis, in case there is an approval from the police, then the procedures for the configuration of the area will proceed immediately. 
""It is a huge plot of land, very far from the social fabric of the villages, in a place that does not bother anyone. If we finally get the green light from the police, then the landscaping work will begin immediately, while we have already made the first contacts with OTE and PPC for the power supply and the installation of telephone lines in the area. The municipality will take care of the water supply and sewerage, while the necessary covered areas will be installed, for the service and the registration of the refugees "".",Uses_Infrastructure
"the treatment of illegal immigrants in the various accommodation units. On the one hand, there are protests about the conditions of their detention, on the other hand, there is despair about where they will be hosted after their release, while the fear of the residents, both small and large local communities, is obvious and stated.",Uses_Infrastructure
"""Only the prospect of settling immigrants in a place causes problems, reactions, etc. from the social environment. The problem, however, remains and the dry, sterile reaction does not benefit anyone or anything. There is no permanent solution at the moment, we are considering various scenarios , but we have not reached a decision "".",Uses_Infrastructure
"It is spreading to the explosive problem of illegal immigration that sweeps the Greek islands of the Aegean in the heart of the tourist season and has already turned the capital and other cities of the country into a vast camp of illegal immigrants. With the unprecedented ""idea"" of Deputy Minister of Immigration Tasia Christodoulopoulou to establish ""open accommodation structures"", the country's borders were wide open in an unprecedented tsunami of illegal immigrants. The great gift of Mrs. Tasia is fully utilized by Turkey, hoarding from the slave trade of unhappy people and constantly channeling Muslim populations in Greece.",Uses_Infrastructure
"So nowadays in the Greek capital, tourists suddenly see tents being set up to spend the night with newly arrived illegal immigrants in Omonia Square, Victoria Square, Pedio tou Areos (there is a permanent camp that is constantly expanding) and in many other places. genius ”policy of open hospitality structures.",Uses_Infrastructure
"But the accumulation of unhappy people without any basic hygiene requirements not only fills the pockets of slave traders and other ""collaborators"" in the giant circuit who hide behind the cloak of humanism, they also pose great risks to both public health and public safety. . Surely anything but coincidental should be considered the fact that among those arrested masked to put fires, throwing dozens of Molotov cocktails and stones at police, were 12 foreigners at the same time was discussed in the Greek Parliament the enactment of the bill on the prerequisites of the Agreement of Brussels (15 July 2015)!",Uses_Infrastructure
"As the locals point out, in the midst of their misery and financial hardship: ""We are forced to install cameras and closed circuits."" 
""All these incidents and many more, which are neither recorded nor made public, should be seen by the NGOs. who want to convince us of the ... innocence of these people, reassuring us about who they are and sometimes criticizing us for racist attitudes and acts that show xenophobia "", pointed out G. Molyviatis, of the Old Market association, shopkeeper.",Uses_Infrastructure
"The government, however, so far takes the issue seriously, despite repeated reports not so much about the miserable living conditions of refugees, but about the alleged danger posed by their presence in our country.",Uses_Infrastructure
"Thousands of refugees have left and are still leaving their homes and mainly through Greece trying to reach despite the closure of borders in many European countries to a Central European country. Their number has increased in very large percentages and the Greek authorities are finding it difficult to register them, at the same time that despite the ambitious efforts of the port authorities, many refugees do not succeed and drown in the waters of the Aegean",Uses_Infrastructure
"However, much remains to be done to strengthen the necessary reception capacity at entry points and to provide in a humane and effective manner the hosting, assistance, registration and identification of people arriving each day in order to determine who needs them. who should be relocated to other European Union countries and who do not qualify for refugee status and who should be guaranteed an effective return to their countries of origin under decent conditions.",Uses_Infrastructure
"Now the number of foreigners in the city is much less compared to last weekend, while the tents we were used to seeing in parks and public places were minimized. 
At the moment, the area from the port to Fikiotripa, is in quite good condition, however a good cleaning should be done in Tsamakia and the beach next to the beach. 
Few, counted on the fingers of both hands, are those who sleep at night in the Municipal Garden.",Uses_Infrastructure
"""Nieuw Amsterdam"" is approaching today 
Another cruise ship ""Nieuw Amsterdam"" operated by ""Picolo Travel"" arrives in our waters today, transporting 2,350 tourists! It is the wish of all of us, even some of them, to want to spend some time on the cobbled streets of our market, to prefer some of our products and to properly honor the shops. Already in the port will be men of the port, both at the point where visitors disembark with the boats of the cruise ship, and at the entry points of the passenger port, so as to avoid the presence of illegal immigrants in the area in an effort to detain foreigners. away from the port and not to lose this bunch of foreigners who make their cruise to the Aegean islands.",Uses_Infrastructure
"This is what our Turkish neighbors are doing, with the smuggling operation. Nowhere will you see a foreigner circulating, let alone camping, messing up, altering the environment, damaging facilities and networks and disrupting the social fabric of cities.",Uses_Infrastructure
"Initially the detention centers and detention centers were filled, then makeshift camps were created, later the port was closed, soon the whole wider area of the castle and the Kiosk, today the parks and the whole city are occupied by tents and makeshift mattresses, with all the bad and the dangers of such a situation, since defecation takes place anywhere and everywhere we breathe the characteristic smell of the septic tank. Yesterday, some people camped on a plot of land in Odysseos, almost under the old police. We see that they are slowly ascending to the mountains, and soon they will catch the prophet Elijah.",Uses_Infrastructure
"Meanwhile, our Municipal Theater has been left without water and without electricity, since the ""campers"" between the Theater and the Region, have cut the water pipes and connected them with hoses, while they have also dismantled the electrical installations for charging mobile phones at risk. to suffer and electric shock.",Uses_Infrastructure
#NAME?,Uses_Infrastructure
"It is not possible for the street that passes under the neoclassical building of the town hall, where is the ceremony hall and reception of prominent personalities who visit our city and our island, when they meet the mayor, to be surrounded by buckets that are a fly in the ointment. and forget from meters away",Uses_Infrastructure
"The picture of the beach we described yesterday was unfortunately much worse the next day, as the aliens who had gathered there were twice as many, many of them washing their clothes, the soap bars and the foams running left and right, pooling the surrounding area with dirt water.",Uses_Infrastructure
#NAME?,Uses_Infrastructure
"The last ""weapon"" of protest and reaction is likely to be used by the employees of the Port Fund of Lesvos, not being able to work in an area that is essentially an incubator of germs, as thousands of foreigners have been living in the surrounding area for months now. looking forward to finding a new homeland in central Europe.",Uses_Infrastructure
"Lesvos, in case it ever enters the list of selected tourism, and accepts this volume of visitors, has where to put them? Or will people turn around as they do with the identified aliens who wait for hours outside the low-capacity hotels and boarding houses, until a room is emptied to spend the night?",Uses_Infrastructure
"The bad thing, however, is that these ships, at least 2 of the four, have another destination, which is none other than the transport of foreigners who managed to register. In fact, if we calculate that half of the passengers on the other two ships are also from the East, we can safely say that three of the four have a mandated mission.",Uses_Infrastructure
"The members of the club thought that they had achieved something and anyway a volume of garbage, at least this time, will be put where it should be. In vain, though. With the departure of the volunteers, the foreigners tore some of them, sat on them and when it came time to leave with his wish ... Allah- they left everything behind and some of the bags were treated to put their own luggage. Eventually the garbage rolls into the DNA of most of these people. Unfortunately, it is not the suffering, it is not the pain that makes them behave like that.",Uses_Infrastructure
"The beach in Tsamakia was evacuated 
Finally, finally. The beach next to the municipal beach that had been turned into an informal settlement of illegal immigrants for months was evacuated, after the intervention yesterday morning of the Greek Police, the Coast Guard and crews of the Municipality of Lesvos, in the presence of a court official.",Uses_Infrastructure
"After the evacuation of the beach by the police, the crews of the Municipality, under the supervision of the deputy mayor G. Katzanou, started cleaning the beach, demolishing arbitrary constructions and restoring the functionality of the area. The work is expected to be completed in the coming days.",Uses_Infrastructure
